Nome,Preço Antigo,Preço Pix,Preço Cartão,URL Imagem,Características JSON
Cadeira Poltrona Infantil Crianca Plastico Resistente   Amarela - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2382/25.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Amarela - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde Tifany - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2422/33.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde Tifany - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Vermelha - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2414/49.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Vermelha - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Laranja - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2398/17.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Laranja - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Branca - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2430/1.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Branca - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Rosa - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2406/9.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Rosa - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Azul - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2390/41.png?ims=290x290,data\cadeira_Cadeira Poltrona Infantil Crianca Plastico Resistente   Azul - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/04/produto/2686/50.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Amarela - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2382/25.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Amarela - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde Tifany - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2422/33.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Verde Tifany - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Vermelha - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2414/49.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Vermelha - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Laranja - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2398/17.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Laranja - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Branca - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2430/1.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Branca - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Rosa - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2406/9.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Rosa - Unico.json
Cadeira Poltrona Infantil Crianca Plastico Resistente   Azul - Unico,30.9,27.83,"2X de R$14,50",https://global.cdn.magazord.com.br/maetocom/img/2024/03/produto/2390/41.png?ims=290x290,data\poltrona_Cadeira Poltrona Infantil Crianca Plastico Resistente   Azul - Unico.json
